timestamp,temp_C,pressure_Pa,bmp_alt_m,lat,lon,gps_alt_m,speed_kmh,course_deg,heater,rssi_dBm,raw
2026-05-21T12:11:32,34.9,100151,97.6,21.446146,106.692030,56.7,0.3,255.8,OFF,-73,34.9|100151|97.6|21.446146|106.692030|56.7|0.3|255.8|OFF
2026-05-21T12:11:38,35.2,100151,98.2,21.446146,106.692030,56.7,0.2,255.8,OFF,-86,35.2|100151|98.2|21.446146|106.692030|56.7|0.2|255.8|OFF
2026-05-21T12:11:45,35.4,100153,97.6,21.446148,106.692030,57.0,0.1,255.8,OFF,-77,35.4|100153|97.6|21.446148|106.692030|57.0|0.1|255.8|OFF
2026-05-21T12:11:52,35.7,100154,97.9,21.446146,106.692040,57.0,0.6,255.8,OFF,-73,35.7|100154|97.9|21.446146|106.692040|57.0|0.6|255.8|OFF
2026-05-21T12:11:59,35.9,100153,97.9,21.446150,106.692040,57.5,0.1,255.8,OFF,-69,35.9|100153|97.9|21.446150|106.692040|57.5|0.1|255.8|OFF
2026-05-21T12:12:06,36.2,100149,97.8,21.446148,106.692040,57.8,0.1,255.8,OFF,-73,36.2|100149|97.8|21.446148|106.692040|57.8|0.1|255.8|OFF
2026-05-21T12:12:13,36.4,100149,97.6,21.446146,106.692040,58.0,0.3,255.8,OFF,-75,36.4|100149|97.6|21.446146|106.692040|58.0|0.3|255.8|OFF
2026-05-21T12:12:20,36.6,100156,97.8,21.446146,106.692040,57.6,0.6,255.8,OFF,-75,36.6|100156|97.8|21.446146|106.692040|57.6|0.6|255.8|OFF
2026-05-21T12:12:27,36.8,100145,98.3,21.446144,106.692040,56.9,0.4,255.8,OFF,-73,36.8|100145|98.3|21.446144|106.692040|56.9|0.4|255.8|OFF
2026-05-21T12:12:34,37.1,100147,98.5,21.446140,106.692050,57.1,0.4,255.8,OFF,-75,37.1|100147|98.5|21.446140|106.692050|57.1|0.4|255.8|OFF
2026-05-21T12:12:41,37.3,100150,97.9,21.446133,106.692050,56.9,0.1,255.8,OFF,-74,37.3|100150|97.9|21.446133|106.692050|56.9|0.1|255.8|OFF
2026-05-21T12:12:48,37.5,100148,98.2,21.446131,106.692050,56.5,0.2,255.8,OFF,-75,37.5|100148|98.2|21.446131|106.692050|56.5|0.2|255.8|OFF
2026-05-21T12:12:55,37.7,100153,98.1,21.446131,106.692050,56.4,0.3,255.8,OFF,-72,37.7|100153|98.1|21.446131|106.692050|56.4|0.3|255.8|OFF
